Time,Username,Symbol ID,Coordinates
2023-12-12 13:23:29,Max,19,"(245, 209)"
2023-12-12 13:23:29,Max,20,"(561, 133)"
2023-12-12 13:23:29,Max,21,"(381, 97)"
2023-12-12 13:23:29,Max,22,"(601, 129)"
2023-12-12 13:23:29,Max,23,"(619, 200)"
2023-12-12 13:23:29,Max,24,"(449, 179)"
2023-12-12 13:23:29,Max,25,"(273, 151)"
2023-12-12 13:23:29,Max,26,"(780, 721)"
2023-12-12 13:23:29,Max,27,"(735, 713)"
2023-12-12 13:23:29,Max,28,"(324, 100)"
2023-12-12 13:23:29,Max,29,"(661, 204)"
2023-12-12 13:23:29,Max,30,"(707, 703)"
2023-12-12 13:23:29,Max,31,"(718, 188)"
2023-12-12 13:23:29,Max,32,"(749, 117)"
2023-12-17 10:21:06,Victor,1,"(985, 137)"
2023-12-17 10:21:06,Victor,2,"(924, 709)"
2023-12-17 10:21:06,Victor,3,"(995, 379)"
2023-12-17 10:21:06,Victor,4,"(288, 519)"
2023-12-17 10:21:06,Victor,5,"(938, 138)"
2023-12-17 10:21:06,Victor,6,"(1046, 143)"
2023-12-17 10:21:06,Victor,7,"(169, 430)"
2023-12-17 10:21:06,Victor,8,"(216, 437)"
2023-12-17 10:21:06,Victor,9,"(135, 134)"
2023-12-17 10:21:06,Victor,10,"(168, 96)"
2023-12-17 10:21:06,Victor,11,"(549, 253)"
2023-12-17 10:21:06,Victor,12,"(843, 388)"
2023-12-17 10:21:06,Victor,13,"(202, 90)"
2023-12-17 10:21:06,Victor,14,"(932, 386)"
2023-12-17 10:21:06,Victor,15,"(627, 253)"
2023-12-17 10:21:06,Victor,16,"(237, 503)"
2023-12-17 10:21:06,Victor,17,"(156, 482)"
2023-12-17 10:21:06,Victor,18,"(889, 392)"
2023-12-17 10:21:06,Victor,19,"(114, 460)"
2023-12-17 10:21:06,Victor,20,"(583, 248)"
2023-12-17 10:21:06,Victor,21,"(458, 746)"
2023-12-17 10:21:06,Victor,22,"(200, 525)"
2023-12-17 10:21:06,Victor,23,"(1109, 145)"
2023-12-17 10:21:06,Victor,24,"(1031, 723)"
2023-12-17 10:21:06,Victor,25,"(503, 756)"
2023-12-17 10:21:06,Victor,26,"(887, 150)"
2023-12-17 10:21:06,Victor,27,"(803, 403)"
2023-12-17 10:21:06,Victor,28,"(400, 752)"
2023-12-17 10:21:06,Victor,29,"(262, 447)"
2023-12-17 10:21:06,Victor,30,"(1105, 713)"
2023-12-17 10:21:06,Victor,31,"(1072, 700)"
2023-12-17 10:21:06,Victor,32,"(973, 711)"
